,Unnamed: 0,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
986,986,2.0,3.0,,42.29084,-71.07299,2.0,1.2,2.0,1.5,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,0,0,0,22.0,0.0,0.0,4.18,4.41,4.77,4.9,4.8,4.23
987,987,2.0,3.0,,42.29224,-71.07328,2.0,1.0,1.0,1.0,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,30,60,90,30.0,0.0,0.0,4.77,4.77,4.97,4.9,4.53,4.83
988,988,10.0,10.0,,42.32142,-71.08007,2.0,1.0,1.0,1.0,2.0,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,,30,60,90,91.0,21.0,1.0,4.73,4.9,4.93,4.89,4.23,4.69
989,989,4.0,4.0,,42.336525,-71.054451,3.0,1.0,1.0,1.0,2.0,180,2.0,2.0,180.0,180.0,2.0,180.0,,29,59,89,64.0,13.0,0.0,4.77,4.83,4.73,4.89,4.77,4.73
990,990,2.0,2.0,,42.38793,-71.00376,2.0,1.2,0.0,1.0,1.0,11,1.0,5.0,11.0,11.0,3.9,11.0,,13,15,15,119.0,7.4,0.0,4.76,4.86,4.9,4.93,4.8,4.71
991,991,4.0,10.0,,42.35099,-71.13657,2.0,1.2,1.3,1.5,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,0,0,0,30.0,0.0,0.0,4.47,4.63,4.77,4.77,4.57,4.47
992,992,1.0,3.0,,42.36038,-71.13024,1.0,1.2,1.3,1.5,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,0,0,0,5.0,0.0,0.0,4.8,5.0,5.0,5.0,4.6,5.0
993,993,9.0,9.0,,42.34718,-71.13543,4.0,1.2,2.0,1.5,29.0,30,29.0,29.0,30.0,30.0,29.0,30.0,,0,0,0,48.0,0.0,0.0,4.88,4.96,5.0,5.0,4.96,4.73
994,994,4.0,10.0,,42.34962,-71.13461,2.0,1.2,1.3,1.5,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,0,0,0,37.0,0.0,0.0,4.57,4.81,4.76,4.76,4.62,4.73
995,995,1.0,2.0,,42.34561,-71.14017,3.0,1.2,1.0,1.5,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,0,0,0,24.0,0.0,0.0,4.79,4.88,4.9,4.83,4.83,4.83
996,996,1.0,1.0,,42.36203,-71.14292,1.0,1.0,1.0,1.0,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,28,58,88,81.0,1.0,0.0,4.96,4.98,4.99,5.0,4.88,4.93
997,997,34.0,35.0,,42.38237,-71.02006,2.0,1.0,1.0,1.0,1.0,5,1.0,2.0,5.0,5.0,1.3,5.0,,28,58,88,23.0,7.4,0.3,4.89,4.92,4.92,4.89,4.8,4.79
998,998,4.0,10.0,,42.34897,-71.13536,2.0,1.2,1.0,1.5,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,0,0,0,38.0,0.0,0.0,4.5,4.92,4.87,4.89,4.68,4.58
999,999,4.0,4.0,,42.3,-71.14898,1.0,1.0,1.0,1.0,1.0,31,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,102.0,14.0,0.0,4.76,4.89,4.94,4.95,4.75,4.79
1000,1000,4.0,4.0,,42.3,-71.1511,1.0,1.0,1.3,1.5,1.0,31,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,84.0,9.0,2.0,4.77,4.87,4.93,4.92,4.7,4.77
1001,1001,4.0,4.0,,42.27302,-71.14923,1.0,1.0,1.0,1.0,1.0,31,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,115.0,10.0,0.0,4.7,4.79,4.86,4.79,4.63,4.64
1002,1002,4.0,4.0,,42.3,-71.14922,1.0,1.0,1.0,1.0,1.0,31,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,133.0,21.0,0.0,4.61,4.84,4.89,4.87,4.59,4.62
1003,1003,1.0,2.0,,42.31883,-71.10693,2.0,1.0,1.0,1.0,1.0,30,1.0,1.0,30.0,30.0,1.0,30.0,,3,3,20,23.0,40.0,2.0,4.9,4.87,4.99,4.99,4.93,4.8
1004,1004,2.0,2.0,,42.37676,-71.03889,1.0,1.0,1.0,1.0,29.0,365,29.0,29.0,1125.0,1125.0,29.0,1125.0,,0,0,0,23.0,1.0,0.0,4.85,4.94,4.96,4.9,4.81,4.81
1005,1005,1.0,2.0,,42.32038,-71.05054,2.0,1.2,1.0,1.5,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,0,0,0,5.0,0.0,0.0,5.0,5.0,4.8,4.6,5.0,5.0
1006,1006,2.0,2.0,,42.31203,-71.10278,6.0,1.0,2.0,2.0,13.6,1125,1.0,13.1,1125.0,1125.0,43.1,1125.0,,24,54,84,91.0,18.0,1.0,4.88,4.99,4.93,4.89,4.96,4.84
1007,1007,2.0,2.0,,42.31203,-71.10278,3.0,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,23.0,30.0,0.0,4.94,4.94,4.94,4.97,4.94,4.75
1008,1008,1.0,1.0,,42.31075,-71.11519,2.8,2.0,1.3,1.5,2.0,180,2.0,2.0,1125.0,1125.0,2.0,1125.0,,0,0,0,54.0,11.0,0.0,4.94,4.93,5.0,4.91,4.96,4.8
1009,1009,2.0,3.0,,42.3499,-71.1,1.0,1.0,1.0,1.0,29.0,150,29.0,29.0,150.0,150.0,29.0,150.0,,18,48,78,14.0,1.0,0.0,5.0,5.0,4.93,5.0,5.0,4.93
